851.2,56826.393,82.8,2,Singapore
1500.9,16526.471,77,3,Slovakia
2236.5,21640.27,80.5,3,Slovenia
1419.1,2299.878,64.7,3,SolomonIslands
509.6,5266.883,62.6,2,SouthAfrica
1667.4,29286.639,82.2,2,SouthKorea
383.7,286.208,62,3,SouthSudan
1499,26564.632,82.3,1,Spain
254.6,3885.761,76.3,3,SriLanka
259.6,7033.491,72.5,3,St.VincentandtheGrenadines
339.9,1403.152,67.9,3,Sudan
511.7,5435.116,72.6,3,Suriname
716.2,51590.473,81.7,1,Sweden
1489.8,80628.389,82.6,1,Switzerland
361.1,795.981,68.7,3,Tajikistan
181.8,966.29,65.4,3,Tanzania
837.4,5995.081,77.4,3,Thailand
147.3,595.142,61.9,3,Togo
986.9,4178.289,72.3,3,Tonga
682.5,16182.784,74.6,3,TrinidadandTobago
1580,3665.678,76.7,3,Tunisia
1770.7,10891.19,77.8,3,Turkey
962.1,6412.135,69.1,3,Turkmenistan
748.5,36226.23,75.3,3,UAE
195.7,804.526,64.5,3,Uganda
1849.4,2200.002,72.2,3,Ukraine
827.7,41193.641,80.7,1,UnitedKingdom
1016.6,58017.227,78.6,1,UnitedStates
899.4,15139.12,77,3,Uruguay
495.9,2575.518,71.4,3,Uzbekistan
1069.2,2929.517,64.6,3,Vanuatu
396.2,9092.02,74.7,3,Venezuela
1049.6,2692.732,73.2,3,Vietnam
423.8,1061.844,67.5,3,Yemen
145.4,1252.698,60.5,3,Zambia
122.9,1409.454,58.5,3,Zimbabwe
